"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","11","0","0","0","0"
"","KasirAja Customer Tests: Register Customer successfully with valid data","","0","0","5","0","0"
"","KasirAja Login Tests: Login failed with invalid email","","0","0","3","0","0"
"","KasirAja Customer Tests: Register Customer failed with empty name","","0","0","5","0","0"
"","KasirAja Login Tests with TDD: Login failed with invalid credentials","","0","0","4","0","0"
"","KasirAja Register Tests: Register toko failed with email already used","","0","0","4","0","0"
"","KasirAja Login Tests: Verify Login failed with invalid password","","0","0","3","0","0"
"","KasirAja Login Tests with TDD: Login successfully with valid credentials","","0","0","3","0","0"
"","KasirAja Customer Tests: Delete Customer successfully","","0","0","3","0","0"
"","KasirAja Customer Tests: Ubah Customer successfully","","0","0","3","0","0"
"","KasirAja Register Tests: Register toko successfully with valid data","","0","0","4","0","0"
"","KasirAja Login Tests: Login successfully with valid credentials","","0","0","3","0","0"
